"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"62","Spent the last 5 minutes of work finding a new pile of 'something I forgot to do' every time I turned my head...plu https://t.co/2G8rWWg0L4",FALSE,0,NA,2020-05-05 23:51:36,TRUE,NA,"1257820272184356864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SecretsStrata",0,FALSE,FALSE,NA,NA
"63","#pandemia #covid #caos https://t.co/qPPUxsl7Ex",FALSE,0,NA,2020-05-05 23:50:59,FALSE,NA,"1257820114688323585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phapitanga",0,FALSE,FALSE,NA,NA
"64","Best news I've heard all day. (or week or month for that matter.) #COVID #COVID19 https://t.co/S4vYYezEPn",FALSE,1,NA,2020-05-05 23:50:36,FALSE,NA,"1257820019771179008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jessiet1023",0,FALSE,FALSE,NA,NA
"65","""Significa que no esto registrando todas as mortes. Que o nmero  muito maior"", interpreta a telespectadora. O l https://t.co/XZUZUzP0CL",FALSE,0,NA,2020-05-05 23:50:33,TRUE,NA,"1257820006840221696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tonsylvestre",0,FALSE,FALSE,NA,NA
"66","#globalbuzz The Polish Senate has rejected a bill that would enable the country's presidential elections, originall https://t.co/tp2b6CmyEe",FALSE,0,NA,2020-05-05 23:50:31,TRUE,NA,"1257819997226758144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bernamaradio",0,FALSE,FALSE,NA,NA
"67","While the whole world is reeling from #corona and cant even open their parks, #China is opening their #Disneyland. https://t.co/6kAj0JRW8u",FALSE,0,NA,2020-05-05 23:50:31,TRUE,NA,"1257819997075718144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WeLoveIndia7",0,FALSE,FALSE,NA,NA
"68","Yes. Seven. And one #COVID death out of those.
https://t.co/8GCrQCqi2Z",FALSE,0,NA,2020-05-05 23:50:31,FALSE,NA,"1257819996782280706",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OlFetusFace",0,FALSE,FALSE,NA,NA
"69","Mattel to launch #ThankYouHeroes action figures of frontline workers for retail of $20 and $15 goes to frontline wo https://t.co/sC8bCtJqxd",FALSE,0,NA,2020-05-05 23:50:06,TRUE,NA,"1257819892436385795",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","cre_ron",0,FALSE,FALSE,NA,NA
"70","Karena covid19 kerjaan ortu&amp;kakak terhambat. Aku coba jual masker untuk bantu keluarga
Masker motif anak dan dewasa https://t.co/JD3aU0pZXW",FALSE,0,NA,2020-05-05 23:49:59,TRUE,NA,"1257819862459486208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Memayu_bawana",0,FALSE,FALSE,NA,NA
"71","Why No 10's #Covid-19 #death toll slides don't tell the whole story
Lies, damn lies and #statistics: or, the devil https://t.co/jXfjZYLZjw",FALSE,0,NA,2020-05-05 23:49:58,TRUE,NA,"1257819860425474056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","polly_galway",0,FALSE,FALSE,NA,NA
"72","Moro revelou detalhes do casal.
.
.
#magon #marcelomagon #charges #charge #politica #bolsonaro #covid #corona https://t.co/HuPIlqhlgC",FALSE,0,NA,2020-05-05 23:49:54,TRUE,NA,"1257819843312660480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","magon_marcelo",0,FALSE,FALSE,NA,NA
"73","Before #Covid  https://t.co/YgIbOeubqb",FALSE,0,NA,2020-05-05 23:49:48,FALSE,NA,"1257819816309612544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mrivas991",0,FALSE,FALSE,NA,NA
"74","#Barrio31 #Covid @MalenaMassa, presidenta de  @AySA_Oficial  y equipo tnico de la empresa recibieron, en su sede, https://t.co/xcuNQxgcwA",FALSE,0,NA,2020-05-05 23:49:47,TRUE,NA,"1257819814434930688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sditomaso",0,FALSE,FALSE,NA,NA
"75","Mourning in America video https://t.co/ROiPpliMze via @YouTube sent #Trump into a Twitter rage at 1AM #covid",FALSE,0,NA,2020-05-05 23:49:28,FALSE,NA,"1257819735414247424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarkMelvin",0,FALSE,FALSE,NA,NA
"76","In my informal observations: Boomers are scared of #covid and the #1 proponents of keeping workers home while they https://t.co/dj7Ab8VQiQ",FALSE,0,NA,2020-05-05 23:49:21,TRUE,NA,"1257819705944965120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BitcoinMidas_",0,FALSE,FALSE,NA,NA
"77","Sin sustento que #perros y #gatos enfermen de #Covid https://t.co/hCHCsMdh0Q https://t.co/W6Ue8hKVaE",FALSE,0,NA,2020-05-05 23:49:21,FALSE,NA,"1257819704065916928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ParadigmaTw",0,FALSE,FALSE,NA,NA
"78","Mucha atencin

Ipiales en el ms reciente reporte no es el municipio con mayores afectaciones por #Covid-19, Tumac https://t.co/eGrsNoqzk3",FALSE,1,NA,2020-05-05 23:49:19,TRUE,NA,"1257819696155578374",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulocesarpaz",0,FALSE,FALSE,NA,NA
"79","#Guanajuato Salen 91 pacientes tras estar hospitalizados por #COVID-19; 28 permanecen internados https://t.co/uW5n4oihmo",FALSE,0,NA,2020-05-05 23:49:18,TRUE,NA,"1257819692334546947",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OpinionBajio",0,FALSE,FALSE,NA,NA
"80","@davidshukmanbbc More evidence of #bame and #covid-19 deaths heavily linked to low levels of #vitamind and how gene https://t.co/RSpkRDATLu",FALSE,0,"davidshukmanbbc",2020-05-05 23:49:09,TRUE,NA,"1257819654493556741","198494684","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jongrimes101",0,FALSE,FALSE,NA,NA
"81","ICYMI:The NEW virtual series #DemandingWomen episode 2, w/ @shannonrwatts &amp; @ewarren, is now available on the https://t.co/nECQhQ6Wcx",FALSE,0,NA,2020-05-05 23:49:06,TRUE,NA,"1257819640216064008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeriSamantha",0,FALSE,FALSE,NA,NA
"82","@BBCFergusWalsh More evidence of #bame and #covid-19 deaths heavily linked to low levels of #vitamind and how gener https://t.co/yCnL7l1C8Y",FALSE,0,"BBCFergusWalsh",2020-05-05 23:48:59,TRUE,NA,"1257819613934628866","146513211","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jongrimes101",0,FALSE,FALSE,NA,NA
"83","Las salas de pediatra y medicina interna del hospital privado Sermesa en Masaya, fueron desalojadas por presencia https://t.co/jUMBFiXwdc",FALSE,13,NA,2020-05-05 23:48:58,TRUE,NA,"1257819607005630464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Articulo66Nica",11,FALSE,FALSE,NA,NA
"84","@ShaunLintern More evidence of #bame and #covid-19 deaths heavily linked to low levels of #vitamind and how general https://t.co/Jq13QVqdE9",FALSE,0,"ShaunLintern",2020-05-05 23:48:51,TRUE,NA,"1257819579344183296","162071541","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jongrimes101",0,FALSE,FALSE,NA,NA
"85","Day 12. Post positive #Covid test day... 05/05/20 (Tuesday)
Early am coughing fit; needed my back pummelled. Didnt https://t.co/HQqLcydE0X",FALSE,0,NA,2020-05-05 23:48:50,TRUE,NA,"1257819575846154245",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phoebecarter65",0,FALSE,FALSE,NA,NA
